API_Label,Well_ID,Spud_Date,Ground_Ele,Well_Stat,Stat_Date,Section,Township,Range,lat1,long1,Oil_Production,Oil_Sales,Gas_Production,Gas_Sales,Water_Produced,Location,acct,stripper_flg,tot_mill,asd_val,Tax_Est
05-013-06561,6561,8/22/2009,5165,PA,6/30/2021,26,1N,69W,40.024831,-105.087136,,,,,,,P0319257    ,N,168.048,4072,684.291456
05-013-06562,6562,8/15/2009,5165,PA,6/30/2021,26,1N,69W,40.024804,-105.087251,,,,,,,P0319256    ,N,168.048,41629,6995.670192
05-013-06564,6564,4/15/2008,5019,PR,10/31/2007,13,1N,69W,40.057642,-105.064154,183,198,4587,4587,,NWNE 13 1N69W,P0317283    ,N,172.214,25730,4431.06622
05-013-06566,6566,3/12/2008,5027,SI,8/1/2022,24,2N,69W,40.125815,-105.063116,259,266,3174,3174,5,SWNE 24 2N69W,P0317279    ,N,101.278,62501,6329.976278
05-013-06568,6568,3/6/2008,5078,PR,9/1/2018,3,1N,69W,40.081922,-105.10043,367,327,7883,7883,144,SWNE 3 1N69W,P0317259    ,N,101.278,48618,4923.933804
05-013-06571,6571,4/28/2008,5019,PR,7/15/2022,13,1N,69W,40.057706,-105.064129,123,103,2840,2840,,NWNE 13 1N69W,P0317285    ,N,172.214,24012,4135.202568
05-013-06572,6572,5/3/2008,5081,SI,9/1/2022,24,1N,69W,40.041515,-105.059102,195,206,2372,2372,60,NENE 24 1N69W,P0317272    ,N,118.368,31130,3684.79584
05-013-06573,6573,6/6/2008,5081,PR,5/1/2020,24,1N,69W,40.041478,-105.058989,242,182,3215,3215,74,NENE 24 1N69W,P0317276    ,N,118.368,28562,3380.826816
05-013-06574,6574,5/18/2008,5081,SI,9/1/2022,24,1N,69W,40.04142,-105.0591,232,229,2759,2759,72,NENE 24 1N69W,P0317273    ,N,118.368,32259,3818.433312
05-013-06575,6575,5/10/2008,5081,PR,5/1/2020,24,1N,69W,40.041464,-105.059092,188,141,2636,2636,55,NENE 24 1N69W,P0317275    ,N,118.368,36384,4306.701312
05-013-06576,6576,4/27/2008,5081,TA,9/1/2022,24,1N,69W,40.041558,-105.059101,223,220,2653,2653,67,NENE 24 1N69W,P0317271    ,N,118.368,29871,3535.770528
05-013-06577,6577,5/29/2008,5081,PR,5/1/2020,24,1N,69W,40.04154,-105.058991,160,102,5330,5330,52,NENE 24 1N69W,P0317274    ,N,118.368,26880,3181.73184
05-013-06578,6578,2/9/2010,5000,SI,8/1/2022,24,2N,69W,40.118063,-105.05724,229,235,4329,4329,46,SESE 24 2N69W,P0400653    ,N,101.278,49657,5029.161646
05-013-06579,6579,11/24/2008,5083,SI,6/1/2022,10,1N,69W,40.069875,-105.098831,165,225,3869,3869,70,NWNE 10 1N69W,P0317263    ,N,93.963,57925,5442.806775
05-013-06580,6580,2/15/2010,5007,SI,8/1/2022,25,2N,69W,40.114552,-105.062541,158,191,4454,4454,42,NWNE 25 2N69W,P0400654    ,N,101.278,43910,4447.11698
05-013-06581,6581,4/5/2011,5016,PR,5/1/2020,13,1N,69W,40.056996,-105.070025,188,182,3617,3617,54,NWNW 13 1N69W,P0401208    ,N,115.187,44152,5085.736424
05-013-06582,6582,4/3/2009,5111,PR,8/1/2021,13,1N,69W,40.045334,-105.07141,654,597,11481,11481,198,SWSW 13 1N69W,P0319252    ,N,101.278,69541,7042.973398
05-013-06583,6583,4/9/2009,5112,PR,8/1/2021,13,1N,69W,40.045379,-105.071407,150,136,3359,3359,46,SWSW 13 1N69W,P0319254    ,N,101.278,22170,2245.33326
05-013-06588,6588,4/15/2009,5112,PA,11/19/2019,13,1N,69W,40.045415,-105.071407,,,,,,,P0319253    ,N,101.278,550,55.7029
05-013-06591,6591,3/14/2011,5015,PR,9/8/2011,13,1N,69W,40.057105,-105.07002,223,218,3491,3491,62,NWNW 13 1N69W,P0401203    ,N,115.187,28167,3244.472229
05-013-06592,6592,3/22/2011,5016,PR,5/1/2020,13,1N,69W,40.057078,-105.070021,277,266,4768,4768,74,NWNW 13 1N69W,P0401202    ,N,115.187,34951,4025.900837
05-013-06594,6594,9/30/2009,5380,SI,5/1/2022,5,1N,69W,40.081857,-105.147908,,,9,3,,SWNW 5 1N69W,P0400765    ,N,97.463,6047,589.358761
05-013-06595,6595,9/24/2010,5058,SI,8/1/2022,35,2N,69W,40.101216,-105.079613,294,350,4961,4961,56,NWNE 35 2N69W,P0400683    ,N,101.278,71090,7199.85302
05-013-06596,6596,9/15/2010,5058,SI,8/1/2022,35,2N,69W,40.101213,-105.07954,264,317,4451,4451,54,NWNE 35 2N69W,P0400739    ,N,101.278,59342,6010.039076
05-013-06597,6597,8/8/2012,5016,SI,8/1/2022,36,2N,69W,40.100054,-105.067448,506,518,8580,8580,113,NENW 36 2N69W,P0401884    ,N,101.278,151828,15376.83618
05-013-06598,6598,8/13/2012,5017,SI,4/1/2022,36,2N,69W,40.100028,-105.067451,31,126,493,493,6,NENW 36 2N69W,P0401885    ,N,101.278,123759,12534.064
05-013-06599,6599,8/28/2012,5016,SI,4/1/2022,36,2N,69W,40.100104,-105.067445,56,94,849,849,12,NENW 36 2N69W,P0401887    ,N,101.278,35217,3566.707326
05-013-06600,6600,9/9/2010,5058,SI,8/1/2022,35,2N,69W,40.101218,-105.079509,170,203,2857,2857,34,NWNE 35 2N69W,P0400740    ,N,101.278,30869,3126.350582
05-013-06611,6611,9/20/2010,5058,SI,8/1/2022,35,2n,69w,40.101217,-105.079573,132,158,2225,2225,26,NWNE 35 2n69w,P0400741    ,N,101.278,21858,2213.734524
05-013-06621,6621,8/8/2009,5172,SI,3/1/2022,26,1N,69W,40.0228,-105.088786,,178,13,10,,SWNW 26 1N69W,P0319255    ,N,168.048,48845,8208.30456
05-013-06625,6625,10/11/2010,4980,PR,5/18/2011,12,1N,69W,40.071273,-105.062602,418,401,6363,6363,78,NWNE 12 1N69W,P0401200    ,N,101.278,36109,3657.047302
05-013-06626,6626,10/17/2010,4980,PR,5/1/2020,12,1N,69W,40.071271,-105.062639,170,225,3033,3033,30,NWNE 12 1N69W,P0401201    ,N,101.278,42745,4329.12811
05-013-06627,6627,6/5/2012,5058,PA,7/1/2019,13,1N,69W,40.04963,-105.063229,,,,,,,P0401888    ,N,118.368,32589,3857.494752
05-013-06629,6629,6/22/2012,5058,PA,7/1/2019,13,1N,69W,40.049592,-105.063138,,,,,,,P0401889    ,N,118.368,19596,2319.539328
05-013-06630,6630,6/16/2012,5058,PR,5/1/2020,13,1N,69W,40.049603,-105.06317,332,254,4512,4512,185,NWSE 13 1N69W,P0401890    ,N,118.368,39098,4627.952064
05-013-06631,6631,6/11/2012,5058,PA,7/1/2019,13,1N,69W,40.049623,-105.063202,,,,,,,P0401891    ,N,118.368,49799,5894.608032
05-013-06632,6632,6/27/2012,5058,TA,10/1/2022,13,1N,69W,40.04958,-105.063108,475,486,6006,6006,269,NWSE 13 1N69W,P0401892    ,N,118.368,76901,9102.617568
05-013-06633,6633,7/4/2012,5058,PA,6/6/2019,13,1N,69W,40.049551,-105.063038,,,,,,,P0401893    ,N,118.368,19614,2321.669952
05-013-06634,6634,7/9/2012,5058,PA,7/2/2019,13,1N,69W,40.049532,-105.063021,,,,,,,P0401894    ,N,118.368,20787,2460.515616
05-013-06635,6635,10/22/2010,4977,SI,6/1/2022,12,1N,69W,40.070768,-105.067345,127,161,2518,2518,48,NENW 12 1N69W,P0400744    ,N,101.278,37640,3812.10392
05-013-06636,6636,4/20/2011,5016,PR,8/1/2021,13,1N,69W,40.056943,-105.070027,346,334,5377,5377,96,NWNW 13 1N69W,P0401205    ,N,115.187,37671,4339.209477
05-013-06637,6637,3/4/2011,5015,PR,5/1/2020,13,1N,69W,40.057132,-105.070019,338,331,5551,5551,94,NWNW 13 1N69W,P0401206    ,N,115.187,45900,5287.0833
05-013-06638,6638,3/29/2011,5016,PR,5/1/2020,13,1N,69W,40.057051,-105.070022,410,396,5269,5269,112,NWNW 13 1N69W,P0401207    ,N,115.187,47342,5453.182954
05-013-06639,6639,9/30/2010,5058,SI,8/1/2022,35,2N,69W,40.101215,-105.079644,192,229,2847,2847,36,NWNE 35 2N69W,P0400742    ,N,101.278,29935,3031.75693
05-013-06640,6640,10/5/2010,5058,SI,7/1/2021,35,2N,69W,40.101212,-105.079679,,,,,,NWNE 35 2N69W,P0400743    ,N,101.278,5929,600.477262
05-013-06641,6641,4/12/2011,5016,PR,5/1/2020,13,1N,69W,40.056969,-105.070026,410,400,4506,4506,114,NWNW 13 1N69W,P0401204    ,N,115.187,45508,5241.929996
05-013-06647,6647,9/3/2012,5029,PA,9/14/2018,36,2N,69W,40.100134,-105.067447,,,,,,,P0401895    ,N,101.278,19611,1986.162858
05-013-06648,6648,8/24/2012,5016,SI,8/1/2022,36,2N,69W,40.10008,-105.067446,116,58,2108,2108,26,NENW 36 2N69W,P0401896    ,N,101.278,21464,2173.830992
05-013-06667,6667,7/14/2012,5058,PA,7/3/2019,13,1N,69W,40.04953,-105.062985,,,,,,,P0401897    ,N,118.368,41646,4929.553728
