API_Label,Well_ID,Spud_Date,Ground_Ele,Well_Stat,Stat_Date,Section,Township,Range,lat1,long1,Oil_Production,Oil_Sales,Gas_Production,Gas_Sales,Water_Produced,Location,acct,stripper_flg,tot_mill,asd_val,Tax_Est
05-013-06303,6303,5/1/1993,5187,SI,4/1/2022,9,1N,69W,40.071,-105.12891,,,216,207,,NWNW 9 1N69W,P0270041    ,N,93.963,3977,373.690851
05-013-06305,6305,7/31/1993,5319,SI,10/1/2022,8,1N,69W,40.071384,-105.143817,,,264,243,,NENW 8 1N69W,P0270091    ,N,98.673,3982,392.915886
05-013-06306,6306,8/7/1993,5336,SI,10/1/2022,8,1N,69W,40.071018,-105.148486,,,54,38,,NWNW 8 1N69W,P0270092    ,N,98.673,21477,2119.200021
05-013-06320,6320,6/25/1993,5055,SI,3/1/2022,16,1N,69W,40.0568,-105.1192,,2,5,5,,NWNE 16 1N69W,P0272817    ,N,88.302,3977,351.177054
05-013-06321,6321,5/26/1993,5055,SI,3/1/2022,16,1N,69W,40.05633,-105.12431,,2,5,5,,NENW 16 1N69W,P0272818    ,N,88.302,3977,351.177054
05-013-06322,6322,6/3/1993,5043,PA,12/1/2021,16,1N,69W,40.0562,-105.12731,,35,,,,NWNW 16 1N69W,P0272819    ,N,88.302,3977,351.177054
05-013-06335,6335,7/7/1993,5049,SI,3/1/2022,16,1N,69W,40.05289,-105.12774,,28,2,2,,SWNW 16 1N69W,P0272820    ,N,88.302,27792,2454.089184
05-013-06336,6336,5/22/1993,5245,SI,5/1/2022,12,1S,69W,39.977253,-105.054632,,,6,2,,NESE 12 1S69W,P0270081    ,Y,79.216,6041,478.543856
05-013-06337,6337,9/25/1995,5242,SI,7/1/2022,12,1S,69W,39.97463,-105.06548,,181,1,,,SESW 12 1S69W,P0274221    ,N,91.454,27302,2496.877108
05-013-06340,6340,8/16/1993,5138,SI,10/1/2021,1,1S,69W,39.998502,-105.056761,,,,,,NENE 1 1S69W,P0270071    ,N,79.216,7360,583.02976
05-013-06341,6341,6/2/1993,5155,SI,8/1/2022,1,1S,69W,39.99206,-105.05487,,18,31,23,,NESE 1 1S69W,P0270083    ,N,79.216,6041,478.543856
05-013-06342,6342,7/6/2005,5129,SI,5/1/2022,1,1S,69W,39.98826,-105.06008,,35,13,5,,SWSE 1 1S69W,P0272824    ,N,79.216,6041,478.543856
05-013-06343,6343,5/21/1993,5112,PA,8/31/2021,1,1S,69W,39.99164,-105.05948,,42,,,,NWSE 1 1S69W,P0270084    ,N,79.216,6048,479.098368
05-013-06346,6346,5/3/1993,5142,SI,6/1/2022,12,1S,69W,39.98477,-105.05498,5,,21,2,,NENE 12 1S69W,P0270064    ,N,96.432,42465,4094.98488
05-013-06348,6348,6/6/1993,5132,SI,6/1/2022,12,1S,69W,39.984568,-105.063773,,,14,2,,NENW 12 1S69W,P0270077    ,N,96.432,5453,525.843696
05-013-06351,6351,5/26/1993,5184,SI,6/1/2022,12,1S,69W,39.981175,-105.055915,2,,13,1,,SENE 12 1S69W,P0270076    ,N,96.432,5453,525.843696
05-013-06352,6352,5/8/1993,5000,SI,5/1/2022,36,2N,69W,40.09248,-105.06731,,,5,2,,NESW 36 2N69W,P0272810    ,N,101.278,6061,613.845958
05-013-06353,6353,5/15/1993,5038,SI,5/1/2022,36,2N,69W,40.092284,-105.071481,,,7,4,,NWSW 36 2N69W,P0272811    ,N,101.278,6041,611.820398
05-013-06354,6354,5/28/1993,5140,SI,5/1/2022,27,1N,69W,40.0272,-105.10552,,,2,2,,NENW 27 1N69W,P0270075    ,N,93.963,3977,373.690851
05-013-06355,6355,6/4/1993,5151,SI,5/1/2022,27,1N,69W,40.0237,-105.11042,,,2,2,,SWNW 27 1N69W,P0270074    ,N,87.302,21431,1870.969162
05-013-06358,6358,7/27/1993,5092,SI,5/1/2022,21,1N,69W,40.04149,-105.1233,,,6,2,,NENW 21 1N69W,P0272822    ,N,88.302,3977,351.177054
05-013-06361,6361,6/15/1993,5213,PA,10/13/2021,8,1N,69W,40.071093,-105.133049,,,,,,,P0270068    ,Y,95.173,126,11.991798
05-013-06368,6368,6/22/1993,5229,SI,12/1/2020,13,1S,69W,39.97059,-105.05975,,,,,,NWNE 13 1S69W,P0270066    ,N,91.454,3977,363.712558
05-013-06370,6370,6/22/1993,5513,PA,1/9/2017,28,1S,69W,39.934326,-105.112399,,,,,,,P0270087    ,N,87.302,24494,2138.375188
05-013-06371,6371,6/28/1993,5174,PR,11/1/2022,4,1N,69W,40.085964,-105.12345,,,12,6,,NENW 4 1N69W,P0270037    ,N,101.278,5466,553.585548
05-013-06372,6372,6/15/2005,5207,SI,3/1/2021,4,1N,69W,40.08592,-105.129602,,,,,,NWNW 4 1N69W,P0270038    ,N,101.278,5466,553.585548
05-013-06373,6373,7/9/1993,5197,PR,11/1/2022,4,1N,69W,40.08135,-105.12955,,,20,14,,SWNW 4 1N69W,P0270039    ,N,93.963,5454,512.474202
05-013-06374,6374,6/14/1993,5132,SI,6/1/2022,12,1S,69W,39.984481,-105.063846,,,14,2,,NENW 12 1S69W,P0270093    ,N,96.432,3389,326.808048
05-013-06383,6383,8/4/1993,5393,SI,5/1/2022,6,1N,69W,40.07844,-105.15202,,,5,2,,NESE 6 1N69W,P0270072    ,N,104.778,4057,425.084346
05-013-06384,6384,7/28/1993,5341,SI,2/7/2022,6,1N,69W,40.07775,-105.15772,,,,,,NWSE 6 1N69W,P0270073    ,N,104.778,3977,416.702106
05-013-06385,6385,7/21/1993,5402,SI,5/1/2022,6,1N,69W,40.07453,-105.15727,,,9,6,,SWSE 6 1N69W,P0270082    ,N,104.778,21431,2245.497318
05-013-06395,6395,9/28/1993,5197,SI,10/1/2022,14,1S,69W,39.97002,-105.07377,,,62,32,,NENE 14 1S69W,P0272812    ,N,79.216,6084,481.950144
05-013-06396,6396,9/11/1993,5247,SI,10/1/2022,14,1S,69W,39.96285,-105.07452,,,22,8,,NESE 14 1S69W,P0272813    ,N,91.454,4247,388.405138
05-013-06397,6397,9/21/1993,5280,SI,10/1/2022,14,1S,69W,39.963148,-105.078318,,,34,10,,NWSE 14 1S69W,P0272814    ,N,91.454,27666,2530.166364
05-013-06398,6398,9/4/1993,5313,SI,10/1/2022,14,1S,69W,39.95962,-105.0733,,,22,8,,SESE 14 1S69W,P0272815    ,N,91.454,32210,2945.73334
05-013-06409,6409,9/21/2004,5142,SI,11/1/2020,36,1N,69W,40.01304,-105.067337,,,,,,NENW 36 1N69W,P0272807    ,N,79.216,3977,315.042032
05-013-06414,6414,8/28/1993,5199,PA,6/10/2021,33,2N,69W,40.09675,-105.12917,,,,,,SWNW 33 2N69W,P0272805    ,N,101.278,6054,613.137012
05-013-06415,6415,8/20/1993,5161,SI,6/1/2022,33,2N,69W,40.096711,-105.124433,,,23,13,,SENW 33 2N69W,P0272806    ,N,101.278,6041,611.820398
05-013-06416,6416,8/24/1993,5070,SI,5/1/2022,21,1N,69W,40.04144,-105.12892,,,6,2,,NWNW 21 1N69W,P0272821    ,N,88.302,29905,2640.67131
05-013-06418,6418,11/26/1994,5067,PA,10/8/2021,2,1N,69W,40.082453,-105.085724,,,,,,SENW 2 1N69W,P0270086    ,N,101.278,5453,552.268934
05-013-06421,6421,9/4/1993,5183,SI,10/1/2022,27,1N,69W,40.02409,-105.09513,,,49,30,,SENE 27 1N69W,P0270127    ,N,92.963,3990,370.92237
05-013-06422,6422,1/12/1995,5174,SI,10/1/2022,27,1N,69W,40.02506,-105.0999,,,36,18,,SWNE 27 1N69W,P0270123    ,N,93.963,3985,374.442555
05-013-06423,6423,3/2/2005,5085,PR,11/1/2022,33,2N,69W,40.09989,-105.11474,,,18,12,,NENE 33 2N69W,P0272803    ,N,101.278,6082,615.972796
05-013-06424,6424,11/8/1993,5092,PR,11/1/2022,33,2N,69W,40.099353,-105.119377,,,10,7,,NWNE 33 2N69W,P0272804    ,N,101.278,6044,612.124232
05-013-06426,6426,10/2/1993,5148,PA,12/3/2018,33,2N,69W,40.09267,-105.1149,,,,,,,P0270055    ,N,101.278,4,0.405112
05-013-06431,6431,,5066,PA,3/7/2022,34,2N,69W,40.100842,-105.105356,,,,,,NENW 34 2N69W,P0270142    ,N,101.278,24082,2438.976796
05-013-06433,6433,11/18/1994,5100,PA,4/8/2016,34,2N,69W,40.096731,-105.110392,,,,,,,P0272835    ,N,101.278,4005,405.61839
05-013-06437,6437,2/22/2005,5073,SI,4/1/2022,34,2N,69W,40.092696,-105.100455,,,13,7,,NWSE 34 2N69W,P0272802    ,N,101.278,6041,611.820398
05-013-06441,6441,10/6/1993,5067,SI,4/1/2022,34,2N,69W,40.08924,-105.0998,,,12,9,,SWSE 34 2N69W,P0272801    ,N,101.278,6041,611.820398
05-013-06442,6442,1/7/1995,5143,SI,10/1/2022,27,1N,69W,40.02758,-105.1004,,,37,18,,NWNE 27 1N69W,P0270122    ,N,92.963,32037,2978.255631
05-013-06443,6443,8/31/1993,5138,SI,5/1/2022,1,1S,69W,39.998412,-105.056779,,25,3,3,,NENE 1 1S69W,P0270036    ,N,79.216,7360,583.02976
05-013-06447,6447,9/9/1993,5077,SI,4/1/2022,34,2N,69W,40.08853,-105.09538,,,5,1,,SESE 34 2N69W,P0272800    ,N,101.278,23495,2379.52661
05-013-06448,6448,10/14/1993,5154,PA,6/27/2013,1,1S,69W,39.99185,-105.06885,,,,,,,P0270067    ,N,79.216,34831,2759.172496
05-013-06449,6449,2/1/1995,4952,PR,7/1/2017,1,1N,69W,40.0843,-105.058782,574,588,10208,10208,137,NENE 1 1N69W,P0274224    ,N,101.278,69905,7079.83859
05-013-06454,6454,5/10/1994,5226,PR,6/30/1994,26,1N,69W,40.01647,-105.08153,244,265,864,864,90,SWSE 26 1N69W,P0272825    ,Y,93.963,36181,3399.675303
05-013-06457,6457,7/11/1994,5069,PA,8/12/2021,23,1N,69W,40.04245,-105.090381,,,,,,,P0270143    ,N,111.053,15434,1713.992002
05-013-06458,6458,7/1/1994,5085,PA,8/11/2021,23,1N,69W,40.039231,-105.089672,,,,,,,P0281725    ,N,111.053,6080,675.20224
05-013-06460,6460,7/2/1994,5317,PA,12/22/2014,33,1N,69W,40.00603,-105.1142,,,,,,,P0270149    ,N,87.302,4349,379.676398
05-013-06463,6463,8/11/1994,5022,PA,5/2/2016,14,1N,69W,40.055717,-105.079608,,,,,,,P0274222    ,N,118.368,25279,2992.224672
05-013-06464,6464,5/13/1993,5142,SI,6/1/2022,12,1S,69W,39.984767,-105.060341,,,15,3,,NWNE 12 1S69W,P0270065    ,N,96.432,5453,525.843696
05-013-06466,6466,6/20/1994,5358,PA,12/18/2014,33,1N,69W,40.00175,-105.11422,,,,,,,P0270148    ,N,87.302,3989,348.247678
05-013-06473,6473,12/3/1994,5071,PA,4/8/2016,10,1N,69W,40.070636,-105.095028,,,,,,,P0272837    ,N,93.963,23690,2225.98347
05-013-06483,6483,2/6/1995,5148,PA,4/27/2017,21,1N,69W,40.03506,-105.12456,,,,,,NESW 21 1N69W,P0274225    ,Y,88.302,16981,1499.456262
